"time","value"
2021-10-18,15.4
2021-10-19,16.6
2021-10-20,15.8
2021-10-21,11.9
2021-10-22,10.1
2021-10-23,11.1
2021-10-24,12.2
2021-10-25,10.4
2021-10-26,13.5
2021-10-27,13.6
2021-10-28,16
2021-10-29,14.2
2021-10-30,14.5
2021-10-31,17.7
2021-11-01,12.6
2021-11-02,10.8
2021-11-03,11.2
2021-11-04,6.5
2021-11-05,9.1
2021-11-06,10.6
2021-11-07,7.9
2021-11-08,10.1
2021-11-09,10.7
2021-11-10,8.9
2021-11-11,9.1
2021-11-12,8.5
2021-11-13,6.7
2021-11-14,7.2
2021-11-15,5.9
2021-11-16,7.7
2021-11-17,5.3
2021-11-18,9.8
2021-11-19,12.1
2021-11-20,11.7
2021-11-21,8.7
2021-11-22,5.8
2021-11-23,6.5
2021-11-24,7.5
2021-11-25,4.1
2021-11-26,5.5
2021-11-27,3.3
2021-11-28,3.9
2021-11-29,2.9
2021-11-30,4.9
2021-12-01,6.6
2021-12-02,3.5
2021-12-03,3.5
2021-12-04,2.1
2021-12-05,1.1
2021-12-06,1.8
2021-12-07,-0.1
2021-12-08,0.9
2021-12-09,-1
2021-12-10,0.1
2021-12-11,-0.3
2021-12-12,1.4
2021-12-13,7.4
2021-12-14,7.9
2021-12-15,9.3
2021-12-16,9.2
2021-12-17,5.9
2021-12-18,6.1
2021-12-19,6.4
2021-12-20,2.7
2021-12-21,1.3
2021-12-22,1.5
2021-12-23,-0.1
2021-12-24,5
2021-12-25,-0.7
2021-12-26,-2.7
2021-12-27,-1.5
2021-12-28,0.3
2021-12-29,5.4
2021-12-30,9.3
2021-12-31,13.5
2022-01-01,12.6
2022-01-02,10.3
2022-01-03,10.1
2022-01-04,6.7
2022-01-05,5
2022-01-06,2.8
2022-01-07,2.8
2022-01-08,2.5
2022-01-09,2.3
2022-01-10,4.9
2022-01-11,-0.9
2022-01-12,2.6
2022-01-13,4.1
2022-01-14,6.1
2022-01-15,1.6
2022-01-16,1.5
2022-01-17,2.6
2022-01-18,4.6
2022-01-19,2.6
2022-01-20,3.1
2022-01-21,1.3
2022-01-22,3.2
2022-01-23,6.4
2022-01-24,6.1
2022-01-25,4.5
2022-01-26,3.1
2022-01-27,3.4
2022-01-28,5.9
2022-01-29,7
2022-01-30,6.6
2022-01-31,3.9
2022-02-01,4
2022-02-02,6.3
2022-02-03,5.4
2022-02-04,7.4
2022-02-05,4.7
2022-02-06,7.6
2022-02-07,6.2
2022-02-08,7.2
2022-02-09,10
2022-02-10,10.3
2022-02-11,5.2
2022-02-12,5.2
2022-02-13,6.6
2022-02-14,11.6
2022-02-15,9.6
2022-02-16,6.6
2022-02-17,8.8
2022-02-18,6.5
2022-02-19,6.7
2022-02-20,5.3
2022-02-21,6.3
2022-02-22,6.9
2022-02-23,8
2022-02-24,8.5
2022-02-25,6.3
2022-02-26,5.9
2022-02-27,3.8
2022-02-28,4.8
2022-03-01,6.9
2022-03-02,7.5
2022-03-03,0.4
2022-03-04,3.6
2022-03-05,5
2022-03-06,1.5
2022-03-07,7.2
2022-03-08,8.6
2022-03-09,10.7
2022-03-10,9.2
2022-03-11,6.5
2022-03-12,9
2022-03-13,11.4
2022-03-14,12.9
2022-03-15,11.9
2022-03-16,8.5
