"time","value"
2021-10-18,14.4
2021-10-19,13.68
2021-10-20,14.4
2021-10-21,41.4
2021-10-22,23.4
2021-10-23,24.48
2021-10-24,15.12
2021-10-25,11.16
2021-10-26,13.32
2021-10-27,12.96
2021-10-28,10.08
2021-10-29,9.72
2021-10-30,14.76
2021-10-31,12.24
2021-11-01,9.36
2021-11-02,5.76
2021-11-03,5.4
2021-11-04,17.28
2021-11-05,17.28
2021-11-06,19.44
2021-11-07,19.8
2021-11-08,16.56
2021-11-09,6.48
2021-11-10,8.28
2021-11-11,8.64
2021-11-12,11.52
2021-11-13,8.64
2021-11-14,6.48
2021-11-15,13.68
2021-11-16,8.64
2021-11-17,14.4
2021-11-18,18.72
2021-11-19,21.6
2021-11-20,18.36
2021-11-21,12.24
2021-11-22,17.28
2021-11-23,15.84
2021-11-24,11.16
2021-11-25,12.24
2021-11-26,10.44
2021-11-27,10.44
2021-11-28,7.56
2021-11-29,15.84
2021-11-30,23.76
2021-12-01,18.72
2021-12-02,27.36
2021-12-03,21.24
2021-12-04,8.64
2021-12-05,1.8
2021-12-06,5.4
2021-12-07,14.4
2021-12-08,19.8
2021-12-09,9.36
2021-12-10,9.36
2021-12-11,6.84
2021-12-12,7.92
2021-12-13,5.76
2021-12-14,10.08
2021-12-15,12.96
2021-12-16,19.08
2021-12-17,17.28
2021-12-18,18.36
2021-12-19,26.28
2021-12-20,14.76
2021-12-21,6.48
2021-12-22,10.44
2021-12-23,10.44
2021-12-24,20.16
2021-12-25,1.8
2021-12-26,10.08
2021-12-27,14.04
2021-12-28,14.76
2021-12-29,6.48
2021-12-30,11.16
2021-12-31,18.72
2022-01-01,19.8
2022-01-02,11.88
2022-01-03,18
2022-01-04,9.36
2022-01-05,23.04
2022-01-06,24.48
2022-01-07,18
2022-01-08,10.8
2022-01-09,15.12
2022-01-10,6.48
2022-01-11,7.56
2022-01-12,12.6
2022-01-13,21.96
2022-01-14,23.4
2022-01-15,8.64
2022-01-16,15.48
2022-01-17,35.28
2022-01-18,13.68
2022-01-19,14.4
2022-01-20,32.4
2022-01-21,21.6
2022-01-22,11.88
2022-01-23,12.24
2022-01-24,13.32
2022-01-25,15.48
2022-01-26,20.16
2022-01-27,19.8
2022-01-28,32.4
2022-01-29,24.48
2022-01-30,39.96
2022-01-31,5.76
2022-02-01,19.8
2022-02-02,34.2
2022-02-03,14.04
2022-02-04,28.44
2022-02-05,28.08
2022-02-06,34.2
2022-02-07,39.96
2022-02-08,27
2022-02-09,27.36
2022-02-10,20.52
2022-02-11,19.8
2022-02-12,18.36
2022-02-13,23.76
2022-02-14,28.8
2022-02-15,19.08
2022-02-16,23.76
2022-02-17,50.4
2022-02-18,16.56
2022-02-19,31.68
2022-02-20,18
2022-02-21,30.6
2022-02-22,30.96
2022-02-23,30.96
2022-02-24,15.84
2022-02-25,24.48
2022-02-26,12.24
2022-02-27,7.92
2022-02-28,11.16
2022-03-01,13.68
2022-03-02,7.2
2022-03-03,13.32
2022-03-04,16.56
2022-03-05,9
2022-03-06,13.68
2022-03-07,16.2
2022-03-08,4.68
2022-03-09,6.48
2022-03-10,19.8
2022-03-11,25.56
2022-03-12,18
2022-03-13,22.32
2022-03-14,15.48
2022-03-15,7.92
2022-03-16,11.88
